"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_12mon","WAB_30min_12mon","carotenoidtotal","betacarotenoid_nirs","branch_angle","branch_number","CBB_3mon","DM_gravity","DM_nirs","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","frogskin1_5","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_CM4919-1_92",1,92,3,28,"check"," (Operator: lizbethpino, Time: ), Pt2 (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,0,0,NA,35.7071529912509,NA,160,29.3956043956044,4,100,29.3956043956044,10.4963334342413,10.7,NA,3,1,NA,20,6,4,3,160,40,4,3,1,2,2,4750,521,NA,4,1,3,1,4
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_CM6153A-2_64",1,64,2,1,"test"," (Operator: lizbethpino, Time: ), Pt4:Curve:Lodging (Operator: lizbethpino, Time: )","CM6153A-2","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,90,4,NA,38.1362825788752,NA,100,51.3736263736264,4,100,51.3736263736264,19.5919913248617,18.7,NA,4,1,NA,27,10,4,3,240,20,4,2,2,2,1,4150,505,NA,4,2,2,1,1
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_CM6153A-3_277",1,277,9,21,"test"," (Operator: lizbethpino, Time: ), Pt3:NonLeaf (Operator: lizbethpino, Time: )","CM6153A-3","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,85,4,NA,37.2760973282443,NA,100,40.1098901098901,4,100,40.1098901098901,14.9514016756145,14.6,NA,4,1,NA,29,8,4,3,250,10,4,3,1,2,1,4750,558,NA,4,2,3,2,2
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_CM6153A-4_103",1,103,4,26,"test"," (Operator: lizbethpino, Time: ), Tps3:NonLeaf:Pt3 (Operator: lizbethpino, Time: )","CM6153A-4","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,70,3,NA,38.1058669001751,NA,115,21.4285714285714,4,100,21.4285714285714,8.16554290718038,7.8,NA,4,1,NA,9,8,4,2,200,10,4,2,1,4,1,4550,553,NA,4,1,2,3,1
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_CM6153A-5_116",1,116,4,13,"test","NonLeaf:Pt3 (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","CM6153A-5","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,90,4,NA,36.6306451612903,NA,140,31.0439560439561,4,100,31.043956043956,11.3716013824885,11.3,NA,5,1,NA,13,10,4,2,260,20,4,3,1,3,2,4550,520,NA,4,2,3,2,1
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_CM6153B-10_251",1,251,8,6,"test"," (Operator: lizbethpino, Time: ), Pt1 (Operator: lizbethpino, Time: )","CM6153B-10","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,85,4,NA,35.2429159802306,NA,165,25.6868131868132,4,100,25.6868131868132,9.05278198942737,9.35,NA,4,1,NA,17,10,4,1,280,20,4,3,1,2,2,3400,365,NA,4,2,3,2,1
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_CM6153B-11_214",1,214,7,22,"test"," (Operator: lizbethpino, Time: ), Pt2:Curve:NonLeaf (Operator: lizbethpino, Time: )","CM6153B-11","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,90,3,NA,34.4836147120892,NA,160,41.2087912087912,4,100,41.2087912087912,14.2102807879488,15,NA,4,1,NA,13,8,4,1,225,30,4,3,1,2,1,3700,383,NA,4,2,3,2,2
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_CM6153B-6_222",1,222,7,30,"test"," (Operator: lizbethpino, Time: ), Pt4 (Operator: lizbethpino, Time: )","CM6153B-6","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,85,3,NA,36.7355046948357,NA,90,25.5494505494506,4,100,25.5494505494506,9.38571960609813,9.3,NA,3,1,NA,12,6,4,4,195,30,4,3,1,3,2,3850,442,NA,4,2,3,2,1
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_CM6153B-7_3",1,3,1,3,"test","Curve:Pt3 (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","CM6153B-7","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,90,4,NA,32.9108040201005,NA,105,55.3571428571429,4,100,55.3571428571429,18.2184807968413,20.15,NA,4,1,NA,36,10,4,4,210,30,4,2,1,3,2,4400,420,NA,4,1,3,1,1
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_CM6153B-8_323",1,323,11,3,"test"," (Operator: lizbethpino, Time: ), Pt3 (Operator: lizbethpino, Time: )","CM6153B-8","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,90,3,NA,33.997674082635,NA,150,33.2417582417582,4,100,33.2417582417582,11.3014246263704,12.1,NA,5,1,NA,17,10,4,3,320,20,4,2,1,3,2,3850,389,NA,4,3,3,2,2
