"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","DM_nirs","height_1st_branch","frogskin1_5","vigor1_5","lodging1_3","planted_number_plot","plant_type","harvest_number","mites_3mon","root_skin_color1_3","root_type1_5","root_rot_number","germinated_number_plot","thrips1_5","carotenoid1_8","harvest_number_plan","germination_perc"
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-15_847",1,847,27,15,"test"," (Operator: lizbethpino, Time: )","GM14174A-15","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,0.937198,0.6047831,4,40.9652023,105,1,3,1,5,5,2,NA,3,4,0,5,NA,1,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-16_233",1,233,8,24,"test"," (Operator: lizbethpino, Time: )","GM14174A-16","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2.03371688520201,4.05405405405405,0.6449496,NA,3,34.4337311,95,1,3,1,5,3,2,NA,3,3,25,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-17_350",1,350,11,30,"test"," (Operator: lizbethpino, Time: )","GM14174A-17","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",7.83151326053043,14.383775351014,0.3346041,0.25508,3,38.91856,65,1,4,1,5,3,2,NA,3,3,9,5,NA,1,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-18_787",1,787,25,19,"test"," (Operator: lizbethpino, Time: )","GM14174A-18","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2.51054852320675,4.07172995780592,1.3610312,0.6331637,3,37.1363487,55,1,4,1,5,3,2,NA,3,3,4,5,NA,1,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-19_298",1,298,10,23,"test"," (Operator: lizbethpino, Time: )","GM14174A-19","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,0.8651197,0.6079563,3,37.5434914,100,1,5,1,5,3,2,NA,3,3,34,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-20_346",1,346,11,26,"test"," (Operator: lizbethpino, Time: )","GM14174A-20","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",4.18894830659537,11.6161616161616,1.0329682,0.6081623,3,39.4973831,165,1,5,1,5,2,2,NA,3,3,37,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-21_290",1,290,10,31,"test"," (Operator: lizbethpino, Time: )","GM14174A-21","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2.61479591836732,6.05867346938776,1.361482,0.74507,3,39.3420372,110,1,4,1,5,3,2,NA,3,3,15,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-22_681",1,681,22,24,"test"," (Operator: lizbethpino, Time: )","GM14174A-22","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",1.32279154629769,2.46312908620951,0.6619378,0.2813107,3,40.0776558,170,1,4,1,5,3,2,NA,3,3,8,5,NA,1,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-23_261",1,261,9,5,"test"," (Operator: lizbethpino, Time: )","GM14174A-23","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",6.95364238410598,14.8004531195539,0.3710128,0.3087353,2,34.1409531,75,1,3,1,5,4,2,NA,3,3,0,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-2_590",1,590,19,14,"test"," (Operator: lizbethpino, Time: )","GM14174A-2","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",5.55479732496249,14.178153860152,1.3239212,1.07179,3,39.2869987,75,1,4,1,5,3,2,NA,3,3,18,5,NA,1,NA,100
