"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_12mon","WAB_30min_12mon","branch_angle","branch_number","CBB_3mon","DM_gravity","DM_nirs","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","frogskin1_5","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_COL2215_680",1,680,16,41,"test"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,4,NA,35.21531067,NA,100,13.671875,4,100,13.671875,4.81459325566406,7,1,4,1,NA,17,NA,5,2,200,20,4,3,1,2,3,4020,431,0,5,2,3,1,3
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia","COL-40","202256DVGST_stom_rep1_COL40_404",1,404,9,44,"test"," (Operator: lizbethpino, Time: )","COL40","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,3,NA,33.6370188,NA,70,2.5390625,4,60,2.5390625,0.85406493046875,1.3,1,3,1,NA,10,NA,5,3,180,10,2,3,1,4,2,1240,123,0,3,2,3,1,1
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_COL764_691",1,691,16,30,"test","Cuero de Sapo (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","COL764","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,4,NA,29.47650296,NA,60,11.71875,4,100,11.71875,3.454277690625,6,2,4,1,NA,14,NA,5,3,190,20,4,1,1,3,2,3840,297,8,5,1,3,1,3
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_CR63_286",1,286,7,16,"test"," (Operator: lizbethpino, Time: )","CR63","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,1,NA,30.790067,NA,200,6.640625,4,80,6.640625,2.04465288671875,3.4,1,4,1,NA,15,NA,5,2,220,20,3,3,1,3,3,3260,275,0,4,2,3,3,3
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_CUB46_709",1,709,16,12,"test"," (Operator: lizbethpino, Time: )","CUB46","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,0,NA,31.41680092,NA,170,17.578125,4,80,17.578125,5.52248453671875,9,1,4,1,NA,22,NA,5,3,170,20,4,1,1,2,3,3810,334,1,4,2,3,1,3
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13168B-11_578",1,578,13,38,"test"," (Operator: lizbethpino, Time: )","GM13168B-11","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,4,NA,33.4694085,NA,100,25,4,100,25,8.367352125,12.8,1,5,1,NA,18,NA,5,4,270,20,4,2,1,2,3,4200,413,0,5,2,3,1,3
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13168B-13_358",1,358,8,3,"test"," (Operator: lizbethpino, Time: )","GM13168B-13","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,3,NA,31.77033573,NA,50,5.859375,4,100,5.859375,1.86154310917969,3,1,3,1,NA,15,NA,5,4,170,20,3,3,1,3,3,2290,205,2,5,2,3,3,1
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13168B-16_673",1,673,15,43,"test"," (Operator: lizbethpino, Time: ), Pudricion (Operator: lizbethpino, Time: )","GM13168B-16","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,4,NA,25.49131091,NA,90,14.2578125,4,100,14.2578125,3.63450331333984,7.3,1,4,1,NA,31,NA,5,2,210,20,4,3,2,2,3,4910,272,11,5,1,2,2,3
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13168B-17_489",1,489,11,39,"test"," (Operator: lizbethpino, Time: )","GM13168B-17","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,3,NA,30.45683297,NA,180,11.71875,4,100,11.71875,3.56916011367187,6,1,4,1,NA,10,NA,5,4,250,20,4,3,1,3,3,4020,332,1,5,2,3,1,3
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13168B-20_96",1,96,3,6,"test"," (Operator: lizbethpino, Time: )","GM13168B-20","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,2,NA,34.72045455,NA,220,14.453125,4,100,14.453125,5.01819069667969,7.4,1,5,1,NA,18,NA,5,1,280,30,4,3,1,3,3,4030,422,0,5,2,3,1,3
