check_test,accession_name,rep_1,rep_2
test,GM14226A-14,1,1
test,GM14226A-8,1,1
test,GM14235A-1,1,1
test,GM14235A-13,1,1
test,GM14235A-4,1,1
test,GM14235A-6,1,1
test,GM14235A-8,1,1
test,GM14235A-9,1,1
test,GM14241A-4,1,1
test,GM14241A-5,1,1
test,GM14241A-6,3,3
test,GM14241A-9,1,1
test,GM655A-11,1,1
test,GM655A-12,1,1
test,GM655A-17,2,3
test,GM655A-22,1,1
test,GM655A-8,3,3
test,GM7672-9,3,3
test,SM1433-4,1,1
test,SM2775-4_is_Bellotti,1,1
test,SM2834-31,1,1
test,SM3553-27,1,1
test,SM3559-11,4,4
